DRG Id,Provider Id,Total Discharges,Average Total Payments,Average Medicare Payments,Average Medicare Payments
455,50108,21,56650.9523809524,55154.0,55154.0
456,10033,11,56078.5454545454,49028.9090909091,49028.9090909091
457,10033,17,41244.5294117647,37853.0,37853.0
458,50454,11,62240.3636363636,59751.5454545454,59751.5454545454
459,10033,20,49765.65,39380.35,39380.35
460,10033,102,25942.9215686274,23279.0294117647,23279.0294117647
462,50441,15,45794.7333333333,34633.2,34633.2
463,50454,14,92526.5714285714,83184.5,83184.5
464,10033,23,21737.0869565217,18032.652173913,18032.652173913
465,50441,13,24767.7692307692,22175.6153846154,22175.6153846154
466,10033,25,35117.4,33983.64,33983.64
467,10033,100,22770.26,20409.64,20409.64
468,10033,27,18059.1111111111,15074.1851851852,15074.1851851852
469,10033,36,22116.9722222222,20913.7222222222,20913.7222222222
470,10033,232,15132.4913793103,13173.8017241379,13173.8017241379
471,50454,17,85194.0588235294,79525.9411764706,79525.9411764706
472,10033,26,19882.2307692308,18768.0769230769,18768.0769230769
473,10033,22,15176.2272727273,13757.0,13757.0
474,70022,13,29195.2307692308,27011.6153846154,27011.6153846154
475,10033,12,16516.4166666667,13979.0833333333,13979.0833333333
477,260032,13,23267.3076923077,20443.8461538462,20443.8461538462
478,10033,14,14077.5,12663.2857142857,12663.2857142857
479,100007,16,12009.8125,8527.375,8527.375
480,10033,23,21459.4782608696,19906.652173913,19906.652173913
481,10033,42,15401.1904761905,12437.5476190476,12437.5476190476
482,50108,19,16412.4736842105,14842.0526315789,14842.0526315789
483,10033,15,17295.2,15825.8666666667,15825.8666666667
484,10033,24,14332.7083333333,12589.0416666667,12589.0416666667
486,50625,13,19808.6153846154,17145.1538461538,17145.1538461538
488,50441,11,23137.2727272727,20781.2727272727,20781.2727272727
489,70022,11,16092.1818181818,8539.45454545454,8539.45454545454
490,10033,18,16188.3333333333,12296.5555555556,12296.5555555556
491,10033,29,8432.62068965517,5854.89655172414,5854.89655172414
492,10033,11,25074.0,21742.5454545455,21742.5454545455
493,10033,24,17002.9583333333,11902.5833333333,11902.5833333333
494,10033,14,10715.0714285714,7290.35714285714,7290.35714285714
495,150056,11,29744.5454545455,25548.7272727273,25548.7272727273
496,10033,24,14840.0416666667,11611.375,11611.375
497,50108,12,12372.9166666667,11024.25,11024.25
500,330101,12,67320.8333333333,59761.1666666667,59761.1666666667
501,10033,15,13515.3333333333,8711.4,8711.4
502,10033,12,9037.5,7105.58333333333,7105.58333333333
504,100007,20,10870.55,8394.5,8394.5
505,100007,16,7902.125,6763.625,6763.625
511,100007,38,11332.4736842105,8429.05263157895,8429.05263157895
512,100007,62,8554.5,6369.09677419355,6369.09677419355
513,100007,15,10009.0666666667,7544.66666666667,7544.66666666667
514,100007,17,6038.23529411765,4624.11764705882,4624.11764705882
515,100007,22,22098.3181818182,18105.2272727273,18105.2272727273
516,10033,12,16011.75,10312.5,10312.5
517,10033,11,12029.2727272727,10859.8181818182,10859.8181818182
535,50625,11,11593.5454545455,9566.27272727273,9566.27272727273
536,10033,12,5918.91666666667,4922.58333333333,4922.58333333333
539,100113,18,23262.2777777778,18658.7222222222,18658.7222222222
540,50625,11,12772.4545454545,9914.63636363636,9914.63636363636
542,30103,15,15133.4666666667,10875.2666666667,10875.2666666667
543,30103,15,9846.06666666667,5808.86666666667,5808.86666666667
544,100007,18,5357.55555555555,3727.11111111111,3727.11111111111
545,30103,19,22327.5263157895,16295.8947368421,16295.8947368421
546,10033,13,10028.5384615385,7567.07692307692,7567.07692307692
547,70022,11,9139.54545454545,7758.72727272727,7758.72727272727
551,10033,21,12359.5714285714,10950.4761904762,10950.4761904762
552,10033,34,7808.70588235294,6260.47058823529,6260.47058823529
553,90011,15,14306.7333333333,9128.8,9128.8
554,50625,19,12055.4736842105,8207.0,8207.0
555,90011,12,11038.9166666667,9340.91666666667,9340.91666666667
556,50441,15,10135.0666666667,8254.93333333333,8254.93333333333
557,70025,15,14267.8,12233.3333333333,12233.3333333333
558,50625,12,8165.0,6620.08333333333,6620.08333333333
560,50625,16,9838.4375,7685.0625,7685.0625
561,100007,27,4941.92592592593,3615.88888888889,3615.88888888889
562,70022,16,14508.25,12021.125,12021.125
563,10033,13,7495.84615384615,5101.53846153846,5101.53846153846
564,100007,21,10251.2380952381,9255.42857142857,9255.42857142857
565,70022,11,10634.4545454545,9452.90909090909,9452.90909090909
570,90011,18,20851.7777777778,17988.8888888889,17988.8888888889
571,100007,12,9751.41666666667,6758.75,6758.75
573,90011,14,34071.5,27983.5,27983.5
574,100007,12,17135.1666666667,15320.5,15320.5
577,10033,14,14414.2142857143,12994.0,12994.0
578,10033,13,10518.4615384615,7615.53846153846,7615.53846153846
579,70022,12,23721.0,21970.9166666667,21970.9166666667
580,10033,15,12156.2,11126.9333333333,11126.9333333333
581,50441,18,14582.6666666667,11165.2777777778,11165.2777777778
582,50625,12,12861.4166666667,10857.3333333333,10857.3333333333
583,50625,14,10871.5,8649.71428571428,8649.71428571428
592,100007,28,10203.8214285714,8619.57142857143,8619.57142857143
593,100007,23,7778.34782608696,5428.26086956522,5428.26086956522
595,230046,12,26317.75,22703.4166666667,22703.4166666667
596,10033,12,9148.83333333333,8121.08333333333,8121.08333333333
598,100007,20,11278.55,5807.2,5807.2
602,10033,21,11172.380952381,8878.7619047619,8878.7619047619
603,10033,77,7532.7012987013,5517.38961038961,5517.38961038961
604,100007,24,12409.625,11118.5833333333,11118.5833333333
605,50625,36,7569.27777777778,5591.77777777778,5591.77777777778
606,330101,13,21542.6153846154,12545.6923076923,12545.6923076923
607,50625,11,7716.27272727273,5169.81818181818,5169.81818181818
614,50454,11,33391.8181818182,30249.2727272727,30249.2727272727
615,50454,13,23305.9230769231,14813.3846153846,14813.3846153846
616,250102,11,21704.2727272727,20881.9090909091,20881.9090909091
617,10033,15,12720.1333333333,11736.6666666667,11736.6666666667
619,360003,23,31993.0,26864.2173913043,26864.2173913043
620,50441,11,24200.2727272727,21854.6363636364,21854.6363636364
621,10033,19,11527.0526315789,10264.9473684211,10264.9473684211
623,450021,18,13952.3888888889,11223.3333333333,11223.3333333333
625,70022,11,22696.0909090909,20348.4545454545,20348.4545454545
626,10033,14,10464.3571428571,7658.28571428571,7658.28571428571
627,50108,11,9592.45454545454,8277.72727272727,8277.72727272727
628,70022,13,34959.4615384615,31109.6923076923,31109.6923076923
629,70022,30,22145.2666666667,18488.3,18488.3
630,420065,14,8286.64285714286,6918.57142857143,6918.57142857143
637,10033,34,11324.4705882353,9312.14705882353,9312.14705882353
638,10033,66,7203.93939393939,6133.69696969697,6133.69696969697
639,50625,12,6215.25,4300.08333333333,4300.08333333333
640,10033,81,9302.61728395062,8354.25925925926,8354.25925925926
641,10033,63,6282.61904761905,5220.44444444444,5220.44444444444
642,150056,12,15206.4166666667,12807.8333333333,12807.8333333333
643,50454,11,20157.1818181818,17543.3636363636,17543.3636363636
644,10033,14,8119.28571428571,7195.57142857143,7195.57142857143
645,50625,19,7190.63157894737,5356.84210526316,5356.84210526316
652,10033,174,34292.9942528736,23050.0229885057,23050.0229885057
653,140088,17,58896.8823529412,51630.9411764706,51630.9411764706
654,30103,32,31643.90625,19600.625,19600.625
655,50441,12,27470.0,24463.0,24463.0
656,10033,15,27053.0,20448.2666666667,20448.2666666667
657,10033,18,14592.0555555556,12473.8888888889,12473.8888888889
658,10033,17,11959.9411764706,8759.17647058823,8759.17647058823
659,10033,28,30764.5,22288.4285714286,22288.4285714286
660,10033,21,17426.8095238095,11144.619047619,11144.619047619
661,10033,15,13040.8666666667,10604.5333333333,10604.5333333333
664,330101,18,13665.6111111111,12215.5555555556,12215.5555555556
666,100007,11,10838.0909090909,9667.90909090909,9667.90909090909
667,330101,15,11047.7333333333,8552.4,8552.4
668,50625,14,52915.7857142857,48276.2857142857,48276.2857142857
669,50625,35,12693.6571428571,10387.8857142857,10387.8857142857
670,100007,15,5825.33333333333,4700.0,4700.0
672,500064,18,10844.7777777778,7953.33333333333,7953.33333333333
673,50625,18,38182.0555555556,33720.2777777778,33720.2777777778
674,50625,17,22978.0,20406.1176470588,20406.1176470588
675,100128,13,12797.5384615385,9653.15384615385,9653.15384615385
682,10033,104,12155.7596153846,10389.0096153846,10389.0096153846
683,10033,112,9096.19642857143,6987.4375,6987.4375
684,10033,13,5622.76923076923,4432.61538461538,4432.61538461538
685,100007,13,6436.84615384615,5467.61538461538,5467.61538461538
687,100007,16,7460.625,5551.5625,5551.5625
689,10033,51,8496.72549019608,7467.07843137255,7467.07843137255
690,10033,46,7334.17391304348,4721.54347826087,4721.54347826087
691,100007,12,10947.5833333333,8252.66666666667,8252.66666666667
693,340040,11,13301.4545454545,10743.4545454545,10743.4545454545
694,50625,18,7045.5,5497.77777777778,5497.77777777778
696,70022,25,8140.0,6886.8,6886.8
698,10033,56,13346.25,10112.125,10112.125
699,10033,96,11857.96875,7434.09375,7434.09375
700,50454,13,11154.5384615385,9250.38461538462,9250.38461538462
707,30103,20,16667.75,12063.65,12063.65
708,10033,11,9635.0,6311.09090909091,6311.09090909091
713,50625,18,13485.7777777778,11899.1666666667,11899.1666666667
714,50625,22,7859.04545454545,5255.31818181818,5255.31818181818
717,100007,14,11153.5,9998.07142857143,9998.07142857143
726,70022,12,8684.5,7239.5,7239.5
728,70022,11,9191.27272727273,7750.18181818182,7750.18181818182
734,70022,25,27295.08,25185.08,25185.08
735,490063,12,9024.83333333333,7256.16666666667,7256.16666666667
737,10033,30,15406.8333333333,11448.7,11448.7
738,490063,12,11007.25,7965.83333333333,7965.83333333333
740,10033,23,11676.0434782609,10708.5652173913,10708.5652173913
741,10033,22,9380.13636363636,7360.5,7360.5
742,10033,21,11294.9523809524,9422.52380952381,9422.52380952381
743,10033,16,8013.25,6779.25,6779.25
744,260032,14,11425.0714285714,10647.9285714286,10647.9285714286
746,70022,12,15076.0833333333,13019.3333333333,13019.3333333333
747,50108,37,9897.08108108108,8615.89189189189,8615.89189189189
748,50262,14,14484.8571428571,11595.9285714286,11595.9285714286
749,170040,12,21721.1666666667,18058.25,18058.25
755,100007,29,7726.93103448276,5684.37931034483,5684.37931034483
758,100007,14,7120.78571428571,6236.21428571429,6236.21428571429
760,100007,13,5717.0,4765.61538461538,4765.61538461538
765,10033,29,11090.9310344828,8996.51724137931,8996.51724137931
766,180088,11,6372.0,5002.81818181818,5002.81818181818
774,10033,16,6340.875,5083.875,5083.875
775,10033,19,5804.52631578947,4252.84210526316,4252.84210526316
781,10033,21,7461.66666666667,6485.66666666667,6485.66666666667
808,10033,14,15636.4285714286,14778.4285714286,14778.4285714286
809,10033,44,10088.0227272727,8322.18181818182,8322.18181818182
810,100007,12,5804.0,4803.33333333333,4803.33333333333
811,10033,36,9940.19444444444,8253.05555555555,8253.05555555555
812,10033,80,7302.1125,5864.65,5864.65
813,50441,11,33099.1818181818,29204.9090909091,29204.9090909091
815,100007,29,6765.1724137931,5913.58620689655,5913.58620689655
820,330101,12,75146.6666666667,68786.4166666667,68786.4166666667
821,30103,15,19901.4666666667,16025.0666666667,16025.0666666667
822,50441,11,16199.0,13745.1818181818,13745.1818181818
823,240010,14,42526.9285714286,39715.7857142857,39715.7857142857
824,100007,14,15238.8571428571,13868.0,13868.0
826,240010,13,82977.6923076923,32741.5384615385,32741.5384615385
